,date,market-price,difficulty,total-bitcoins,blocks-size,market-cap,open,high,low,close,volume,Number of Trades,TB Base Volume,close_nextday
404,2019-09-21,10173.11,11890594958796.0,17949325.0,240933.284658,179125288837.5,10167.92,10176.7,9900.0,9986.39,20544.175196,245439,9285.851479,10028.87
405,2019-09-22,9979.49,11890594958796.0,17951550.0,241080.025243,179111590125.0,9985.15,10089.0,9853.97,10028.87,22049.275256,253713,11200.611921,8493.14
406,2019-09-24,9683.38,11890594958796.0,17953787.5,241363.197868,174017085343.75,9702.2,9794.99,7800.0,8493.14,94007.345203,748712,42986.253127,8430.05
407,2019-09-25,8553.61,11890594958796.0,17956012.5,241545.985674,149914748362.5,8497.55,8730.0,8215.64,8430.05,60783.892258,544806,30489.471994,8063.73
408,2019-09-26,8432.23,12017674556107.8,17958250.0,241718.046369,150983986875.0,8430.05,8465.99,7750.0,8063.73,67930.853749,522062,33363.51365,8177.91
409,2019-09-27,8055.64,12759819404409.0,17960475.0,241883.747626,143602977862.5,8063.49,8265.0,7852.15,8177.91,43882.924625,369518,23224.861135,8198.81
410,2019-09-28,8193.9,12759819404409.0,17962700.0,242028.718541,146027769650.0,8177.47,8315.0,8001.09,8198.81,34473.605165,319113,18215.039863,8289.34
411,2019-09-30,8056.74,12759819404409.0,17964937.5,242292.084,143575780500.0,8043.04,8337.26,7710.0,8289.34,55865.48726,455556,29052.010951,8292.44
412,2019-10-01,8307.74,12759819404409.0,17967150.0,242441.669138,150798289950.0,8289.97,8500.0,8173.05,8292.44,43479.58742,387712,22520.155804,8359.94
413,2019-10-02,8322.92,12759819404409.0,17969375.0,242601.431589,147546538125.0,8292.67,8373.91,8151.22,8359.94,26243.386644,261430,13652.36085,8223.96
414,2019-10-03,8382.03,12759819404409.0,17971600.0,242750.660139,145821562400.0,8360.0,8393.0,8060.0,8223.96,30488.284058,281307,15321.407535,8126.19
415,2019-10-05,8155.48,12759819404409.0,17973812.5,243063.171784,146567454031.25,8137.09,8183.41,8012.98,8126.19,21907.615564,237769,10620.069822,7854.25
416,2019-10-06,8147.69,12759819404409.0,17976037.5,243202.640466,144877874231.25,8127.55,8153.87,7785.0,7854.25,34676.104049,325795,16437.310141,8190.09
417,2019-10-07,7869.74,12759819404409.0,17978275.0,243323.304314,141147437025.0,7855.3,8299.92,7762.0,8190.09,52202.072297,482605,28088.649704,8168.39
418,2019-10-08,8212.02,12759819404409.0,17980500.0,243480.017819,147547983000.0,8190.82,8325.0,8088.75,8168.39,35452.657423,395685,16893.73714,8560.74
419,2019-10-09,8190.0,12759819404409.0,17982712.5,243636.492528,154138820193.75,8170.79,8670.0,8115.0,8560.74,55038.704378,537805,29211.87169,8558.03
420,2019-10-10,8587.92,12874760266706.7,17984937.5,243778.95347,154067967093.75,8562.15,8644.0,8414.52,8558.03,39137.946167,406932,20587.713971,8300.09
421,2019-10-12,8269.73,13008091666972.0,17987175.0,244094.648984,149869142100.0,8257.95,8400.0,8250.0,8300.09,21339.334098,280633,11644.429544,8275.01
422,2019-10-13,8308.01,13008091666972.0,17989387.5,244223.81647,150040486443.75,8301.98,8451.37,8160.0,8275.01,27840.739953,320051,14035.914654,8348.2
